"","X","Unnamed..0","Print_Alone","PrintNumber","FileNumber","FileID","BatchFile","Initials","expDate","Organ","CageNumber","Tag","TagNumber","DOB","Sex","Age","Genotype","MouseWeight","OrganWeight","TotalLiveCountInMillions","All_Event","AllCells_events","LiveCells_events","Singlets1_events","Singlets2_events","pCD4_events","pCD8_events","pDP_events","pDN_events","CD4_events","CD8_events","Bcells_events","TCRb_events","x4Tregs_events","x8Tregs_events","DN_events","DP_events","CD4prol_events","CD8Prol_events","BcellProl_events","x4tregProl_events","x8tregsProl","DPprol_events","DNProl_events","intage","Bratio","CD4Ratio","CD8Ratio","DPRatio","DNRatio","X4TregRatio","X8TregRatio","TCRbRatio","CD4ProlRatio","CD8ProlRatio","BProlRatio","X4TregProlRatio","X8TregProlRatio","Bct","CD4CT","CD8ct","DPct","DNct","X4TregCT","X8TregCT","TCRbCT","CD4ProlCT","CD8ProlCT","BprolCT","X4TregProlCT","X8TregProlCT","ActivatedCD4CT","NaiveT_CT"
"2",1,2,NA,51,3,"JP090617D19WTS","51_3_JP090617D19WTS.fcs compensated","JP","9/6/2017","Spleen",1277,1,8864,"8/18/2017","F",18,"WT",11.9,0.074,72.2,55900,34584,31537,30671,29383,1717,1630,38,25579,1655,1552,19710,3475,146,19,103,14,0,0,0,0,0,0,0,18,0.670796038525678,0.0584351495762856,0.0554742538202362,0.0012932648129871,0.00350542830888609,0.0882175226586103,0.0122422680412371,0.118265663819215,0,0,0,0,0,48.431473981554,4.21901779940782,4.00524112582105,0.0933737194976687,0.253091923901576,0.372191298316339,0.0490332354320876,8.53878092774734,0,0,0,0,0,0.178211311846986,4.04080648756083
"4",3,4,NA,53,7,"JP091317D19WTS","53_7_JP091317D19WTS.fcs compensated","JP","9/13/2017","Spleen",1218,1,NA,"8/25/2017","M",18,"WT",11.1,0.08,40.25,30000,18838,18609,17795,16490,413,539,26,15043,387,508,8727,1167,50,17,71,5,0,0,0,0,0,0,0,18,0.529229836264403,0.0250454821103699,0.0326864766525167,0.0015767131594906,0.00430563978168587,0.129198966408269,0.0334645669291339,0.0707701637355973,0,0,0,0,0,21.3015009096422,1.00808065494239,1.3156306852638,0.0634627046694967,0.173302001212856,0.130242978674727,0.0440270111210326,2.84849909035779,0,0,0,0,0,0.0425813268647666,0.965499328077623
"6",5,6,NA,31,11,"JA102517D12WTS","31_11_JA102517D12WTS.fcs compensated","JA","10/25/2017","Spleen",7699,0,3,"10/13/2017","",12,"WT",10.2,NA,15.6,100000,70836,67216,64684,62524,2913,1454,35,56587,2454,1352,19291,5232,172,1,62,8,673,442,10762,129,0,1,22,12,0.308537521591709,0.0465901093979912,0.0232550700530996,0.000559785042543663,0.000991619218220203,0.0700896495517522,0.000739644970414201,0.0836798669310985,0.274246128769356,0.326923076923077,0.557876730081385,0.75,0,4.81318533683066,0.726805706608662,0.362779092828354,0.00873264666368114,0.0154692598042352,0.0509415572684148,0.000268327731381919,1.30540592412514,0.199323651404902,0.118600857270808,2.68516409698676,0.0382061679513111,0,0.0312526453841725,0.69555306122449
"8",7,8,NA,37,19,"JA103117D14WTS","37_19_JA103117D14WTS.fcs compensated","JA","10/31/2017","Spleen",7812,1,9172,"10/17/2017","F",14,"WT",10.2,0.083,30,50000,40722,39964,39323,37760,4163,643,10,31551,1639,631,18738,3405,261,35,960,2,557,262,14732,177,35,1,190,14,0.496239406779661,0.110248940677966,0.0170286016949153,0.000264830508474576,0.0254237288135593,0.159243441122636,0.0554675118858954,0.0901747881355932,0.339841366687004,0.415213946117274,0.786209840964884,0.67816091954023,1,14.8871822033898,3.30746822033898,0.510858050847458,0.00794491525423729,0.76271186440678,0.52669262081054,0.0283360250073867,2.7052436440678,1.12401452027383,0.212115387198152,11.7044491525424,0.357182352043929,0.0283360250073867,0.20109406779661,3.10637415254237
"10",9,10,NA,47,23,"JA111417D18WTS","47_23_JA111417D18WTS.fcs compensated","JA","11/14/2017","Spleen",1217,1,9206,"10/27/2017","",18,"WT",10.9,NA,51.245,114356,91493,89887,89613,88453,11146,3790,198,70868,9240,3640,55324,15557,946,21,381,48,2109,1023,37869,536,17,22,87,18,0.625462109821035,0.126010423614801,0.0428476139870892,0.00223847693125162,0.00430737227680237,0.102380952380952,0.00576923076923077,0.175878715249907,0.228246753246753,0.281043956043956,0.684494975056034,0.566596194503171,0.80952380952381,32.0518058177789,6.45740415814048,2.19572597876839,0.11471075034199,0.220731292324737,0.661115187619145,0.0126676498775099,9.01290476298147,1.47388153349765,0.617095515461555,21.9393000237414,0.374585349433257,0.0102547641865556,0.272760751639854,6.18464340650063
"12",11,12,NA,49,26,"JP120617D18WTS","49_26_JP120617D18WTS.fcs compensated","JP","12/6/2017","Spleen",1307,1,9373,"11/18/2017","M",18,"WT",11.1,0.093,19.75,817674,311227,299279,287199,276226,13584,5565,413,255628,12464,5319,128445,26310,1271,30,1437,65,665,250,29938,193,9,34,85,18,0.464999674179838,0.0491771230803762,0.0201465466683078,0.00149515252003794,0.00520226191596736,0.101973684210526,0.00564015792442188,0.0952480939520537,0.0533536585365854,0.047001316036849,0.233080306746078,0.151848937844217,0.3,9.1837435650518,0.97124818083743,0.39789429669908,0.0295292622707493,0.102744672840355,0.0990417552827643,0.00224418667060959,1.88114985555306,0.05181964379468,0.0187015555884132,2.1405497672196,0.0150393853419146,0.000673256001182876,0.041025523158573,0.930222657678857
"13",16,17,NA,15,38,"GM030918D7WTS","15_38_GM030918D7WTS.fcs compensated","GM","3/9/2018","Spleen",8813,0,6,"3/2/2018","",7,"WT",3.3,0.019,7.5,717831,483022,469448,456828,433418,23366,8910,1177,394730,22219,8303,144428,34225,1188,43,169,184,3538,2038,41690,495,10,60,44,7,0.333230276545967,0.0539110050805458,0.0205575218380409,0.00271562325514861,0.000389923814885399,0.0534677528241595,0.00517885101770444,0.0789653406180639,0.159233088797876,0.245453450560039,0.28865593929155,0.416666666666667,0.232558139534884,2.49922707409475,0.404332538104094,0.154181413785307,0.0203671744136146,0.00292442861164049,0.0216187522061147,0.000798482571693145,0.592240054635479,0.0643831189437996,0.0378443600258286,0.721416738575694,0.00900781341921447,0.000185693621323987,0.0210177552229026,0.383314782881191
"16",19,20,NA,55,44,"GM031318D19WTS","55_44_GM031318D19WTS.fcs compensated","GM","3/13/2018","Spleen",8368,1,9887,"2/22/2018","M",18,"WT",10.9,0.07,12.975,469732,381972,371257,369662,366826,23315,10036,578,331717,22298,9758,243157,34311,2512,24,308,250,4368,2093,117454,956,1,137,162,18,0.662867408526113,0.0635587444728563,0.0273590203529739,0.00157567893224581,0.000839635140366277,0.112655843573415,0.00245952039352326,0.0935348094191797,0.195892008251861,0.214490674318508,0.483037708147411,0.380573248407643,0.0416666666666667,8.60070462562632,0.824674709535311,0.354983289079836,0.0204444341458893,0.0108942659462524,0.0929044250763612,0.000873088638851821,1.21361415221386,0.161547185005392,0.0761406050465359,4.15446465081537,0.0353569388427553,3.63786932854925e-05,0.0348342597307715,0.789840449804539
"18",23,24,NA,33,52,"GM032118D12WTS_1","33_52_GM032118D12WTS_1.fcs compensated","GM","3/21/2018","Spleen",7998,0,8,"3/9/2018","F",12,"WT",9.8,0.07,15.8,677827,456513,444985,434469,416684,24233,10334,459,377842,22109,10020,275106,36237,2198,87,344,120,5222,3100,150942,1057,69,62,157,12,0.660226934559522,0.0581567806779238,0.0248005682963589,0.00110155417534631,0.000825565656468691,0.0994165272061152,0.00868263473053892,0.0869651822484185,0.236193405400516,0.30938123752495,0.548668513227629,0.480891719745223,0.793103448275862,10.4315855660405,0.918877134711196,0.39184897908247,0.0174045559704716,0.0130439373722053,0.0913515736620928,0.00340228155490768,1.37404987952501,0.217032719592106,0.121230722071423,5.72348254312621,0.0439302153597962,0.00269836123320264,0.0395117167925814,0.879365417918615
"20",25,26,NA,39,56,"GM032118D14WTS_3","39_56_GM032118D14WTS_3.fcs compensated","GM","3/21/2018","Spleen",8368,1,9918,"3/7/2018","F",14,"WT",8.7,0.06,11.55,894745,536986,521997,509863,487160,23444,10704,454,449523,22282,10257,294595,40835,2816,30,384,157,5559,3166,169129,1302,17,75,167,14,0.604719188767551,0.0481238196896297,0.0219722473109451,0.00093193201412267,0.000788242055998029,0.126380037698591,0.00292483182217023,0.0838225634288529,0.249483888340364,0.308667251633031,0.574106824623636,0.462357954545455,0.566666666666667,6.98450663026521,0.555830117415223,0.253779456441416,0.0107638147631168,0.00910419574677724,0.070245831192948,0.000742262230012915,0.968150607603252,0.138670658949431,0.0783334073406963,4.00985292306429,0.0324787188257167,0.000420615263673985,0.0337944711388456,0.522035646276377
"22",27,28,NA,41,60,"GM032118D14WTS_5","41_60_GM032118D14WTS_5.fcs compensated","GM","3/21/2018","Spleen",8368,1,9920,"3/7/2018","F",14,"WT",8.8,0.063,9.85,664466,439940,432762,421411,402083,19178,10478,4359,363791,18469,9813,227203,33353,1794,55,530,168,3883,2747,124917,843,39,106,216,14,0.565064924406155,0.0476966198521201,0.0260592962149606,0.0108410452568251,0.00131813580778098,0.0971357409713574,0.00560480994599001,0.0829505350885265,0.210244192972007,0.279934780393356,0.549803479707574,0.469899665551839,0.709090909090909,5.56588950540063,0.469811705543383,0.256684067717362,0.106784295779727,0.0129836377066427,0.0456355081349737,0.00143866541571944,0.817062770621986,0.0987751828807708,0.0718547981269329,3.06014541773713,0.0214441100099124,0.00102014456751015,0.0285645516970377,0.441247153846345
"24",29,30,NA,43,64,"JA032218D14WTS_1","43_64_JA032218D14WTS_1.fcs compensated","JA","3/22/2018","Spleen",8196,1,9912,"3/8/2018","M",14,"WT",12.1,0.08,49.8,501010,373582,363740,348453,336773,18492,9890,340,299316,16732,9536,157180,36399,1576,29,547,99,4298,2791,116495,960,22,66,317,14,0.466723876320251,0.0549093900045431,0.0293669623158626,0.00100958212208223,0.00162423947287936,0.0941907721730815,0.00304110738255034,0.108081704887268,0.256873057614153,0.292680369127517,0.741156635704288,0.609137055837564,0.758620689655172,23.2428490407485,2.73448762222625,1.46247472332996,0.0502771896796952,0.080887125749392,0.257563500635224,0.00444754267791199,5.38246890338596,0.70241619652931,0.428037641863875,17.2265917992238,0.156891472468157,0.00337399789358841,0.166256847431356,2.56823077479489
"26",31,32,NA,45,68,"JA032218D14WTS_3","45_68_JA032218D14WTS_3.fcs compensated","JA","3/22/2018","Spleen",8196,1,9910,"3/8/2018","M",14,"WT",11.4,0.089,45.2,565865,426729,419785,401454,389847,18510,9943,574,353078,17092,9509,194583,35661,1504,25,560,95,3605,2161,140951,852,22,50,245,14,0.499126580427706,0.047480165295616,0.0255048775545278,0.00147237249485054,0.0014364609705859,0.0879943833372338,0.00262908823220107,0.0914743476286851,0.210917388251814,0.227258386791461,0.724374688436297,0.566489361702128,0.88,22.5605214353323,2.14610347136184,1.15282046546466,0.0665512367672446,0.0649280358704825,0.188845051540382,0.00303086671959369,4.13464051281657,0.452650539097791,0.261988119241679,16.3422706856793,0.106978712707716,0.00266716271324245,0.1304830910588,2.01562038030304
"28",33,34,NA,57,72,"GM032718D20WTS","57_72_GM032718D20wts.fcs compensated","GM","3/27/2018","Spleen",8368,1,9914,"3/7/2018","M",18,"WT",12.9,0.102,28.2,562118,434681,431050,427054,420510,37402,14912,872,364598,36355,14615,319847,51602,4543,42,57,260,11427,5656,254914,2615,10,155,21,18,0.760616869991201,0.0889443770659437,0.0354617012675085,0.00207367244536396,0.000135549689662553,0.124962178517398,0.00287375983578515,0.122712896245036,0.314317150323202,0.386999657885734,0.796987309557382,0.575610829848118,0.238095238095238,21.4493957337519,2.50823143325961,1.00001997574374,0.0584775629592637,0.00382250124848398,0.313434064125937,0.0028738172412752,3.46050367411001,0.788380156453242,0.387007388491727,17.0948961974745,0.180416041754199,0.000684242200303619,0.105947695740886,2.40228373751872
"30",35,36,NA,35,76,"JA033018D12WTS","35_76_JA033018D12WTS.fcs compensated","JA","3/30/2018","Spleen",7699,1,9948,"3/18/2018","M",12,"WT",10.9,0.095,31.64,757389,594789,586895,567243,548188,21392,10114,1406,513707,21075,9732,267688,36969,2151,11,172,160,5464,3019,187514,1116,5,100,87,12,0.488314227965588,0.0390231088604639,0.0184498748604493,0.00256481353112436,0.000313760972513079,0.102064056939502,0.00113029182079737,0.0674385429816049,0.25926453143535,0.310213727907933,0.700494605660321,0.518828451882845,0.454545454545455,15.4502621728312,1.23469116434508,0.583754040584617,0.0811507001247747,0.00992739717031383,0.126017589300416,0.000659812417430208,2.13375549993798,0.320111626191294,0.181088517111073,10.822825308106,0.065381510766743,0.000299914735195549,0.0530917200668384,1.18159944427824
"32",37,38,NA,17,80,"JA042618D7WTS_1","17_80_JA042618D7WTS_1.fcs compensated","JA","4/26/2018","Spleen",8813,1,10021,"4/19/2018","",7,"WT",4.439,0.029,8.8,616794,500762,494505,488334,479948,25375,9077,1896,440855,24618,8173,137416,37193,3215,7,146,191,6263,2427,61327,1807,2,71,31,7,0.286314350721328,0.052870310950353,0.0189124655170977,0.00395042796302933,0.000304199621625676,0.130595499228207,0.000856478649210816,0.0774938118296149,0.254407344219677,0.296953383090664,0.446287186353845,0.562052877138414,0.285714285714286,2.51956628634769,0.465258736363106,0.16642969655046,0.0347637660746581,0.00267695667030595,0.0607606969456246,0.000142543481690104,0.681945544100611,0.11836523949314,0.0494218614374117,1.12445014876612,0.0341507245352235,4.07267090543153e-05,0.0241847818680357,0.44107395449507
"34",39,40,NA,19,84,"JA042618D7WTS_3","19_84_JA042618D7WTS_3.fcs compensated","JA","4/26/2018","Spleen",8813,1,10022,"4/19/2018","",7,"WT",4.018,0.028,11.6,535957,392565,386915,380653,370786,11340,4322,2098,351098,10912,3751,91985,18912,1226,22,67,217,3191,1274,44377,676,21,142,15,7,0.24808110338578,0.0305836789954313,0.0116563192785057,0.00565825031150043,0.000180697221577945,0.112353372434018,0.00586510263929619,0.0510051620071955,0.292430351906158,0.339642761930152,0.482437353916399,0.551386623164764,0.954545454545455,2.87774079927505,0.354770676347003,0.135213303630666,0.065635703613405,0.00209608777030416,0.0398596819282832,0.000793039903992174,0.591659879283468,0.10374571373014,0.0459242198948195,1.38832965645952,0.0219780954188576,0.000756992635628893,0.018441462244637,0.336329214102366
"36",41,42,NA,9,88,"GM042718D4WTS","9_88_GM042718D4WTS.fcs compensated","GM","4/27/2018","Spleen",1307,0,2,"4/23/2018","",4,"WT",2.4,0.013,11.5,538608,302612,289484,281555,260842,5269,2426,25613,223420,5060,2103,83512,9763,119,4,7166,24418,3639,1781,65589,50,1,23479,6186,4,0.320163163907653,0.0201999677965972,0.00930064943529033,0.0981935424509857,0.0274725696015212,0.0235177865612648,0.0019020446980504,0.0374287883086313,0.719169960474308,0.846885401806942,0.785384136411534,0.420168067226891,0.25,3.68187638493801,0.232299629660867,0.106957468505839,1.12922573818634,0.315934550417494,0.00546317310862514,0.000203437885888424,0.43043106554926,0.167062915481403,0.0905807186918207,2.89168730495856,0.00229545088597695,5.08594714721059e-05,0.0221226680647032,0.210176961596164
"38",43,44,NA,23,92,"AD050318D9WTS_1","23_92_AD050318D9WTS_1.fcs compensated","AD","5/3/2018","Spleen",1293,1,10037,"","",9,"WT",6.2,0.054,7.25,607724,386577,375993,367162,359208,8750,4135,356,345034,8560,3903,69060,13295,961,4,3196,170,3158,1610,49525,647,1,134,1774,9,0.192256297187145,0.0243591456760428,0.0115114362709071,0.000991069241219572,0.00889735195207234,0.112266355140187,0.00102485267742762,0.0370119819157703,0.36892523364486,0.412503202664617,0.717130031856357,0.673257023933403,0.25,1.3938581546068,0.176603806151311,0.0834579129640765,0.0071852519988419,0.0645058016525244,0.0198266656204918,8.55320655537551e-05,0.268336868889334,0.0651536004469438,0.0344266563853864,0.999577542816418,0.013348441890175,2.13830163884388e-05,0.00771397654701456,0.168889829604296
"40",45,46,NA,25,96,"AD050318D9WTS_3","25_96_AD050318D9WTS_3.fcs compensated","AD","5/3/2018","Spleen",1293,1,10036,"","",9,"WT",5.7,0.054,9.15,609005,364344,348474,336383,323468,6878,3548,1656,310315,6732,3323,53959,12847,777,3,5261,1496,2572,1498,37666,493,1,1343,3013,9,0.166814027971855,0.0212633088899056,0.0109686274994744,0.00511951723199822,0.0162643599985161,0.11541889483066,0.000902798675895275,0.0397164479948557,0.382055852644088,0.450797472163707,0.698048518319465,0.634491634491634,0.333333333333333,1.52634835594247,0.194559276342637,0.100362941620191,0.0468435826727837,0.148818893986422,0.02245581665452,9.06075308036634e-05,0.36340549915293,0.0743325102129028,0.0452433603812959,1.06546520830499,0.0142480278129709,3.02025102678878e-05,0.00849826358456479,0.186061012758072
"42",47,48,NA,27,100,"AD051018D9WTS_T5","27_100_AD051018D9WTS_T5.fcs compensated","AD","5/10/2018","Spleen",1328,0,5,"","",9,"WT",4.7,0.027,12.5,325553,240283,236301,233332,230924,4100,2483,569,222715,3961,2276,48802,7630,540,1,334,537,1080,450,28499,261,1,255,21,9,0.211333598932982,0.0177547591415357,0.0107524553532764,0.00246401413452045,0.00144636330567633,0.136329209795506,0.000439367311072056,0.0330411737194921,0.272658419591012,0.197715289982425,0.583971968361952,0.483333333333333,1,2.64166998666228,0.221934489269197,0.134405691915955,0.0308001766815056,0.0180795413209541,0.0302561535484388,5.90534674498924e-05,0.413014671493652,0.0605123070968777,0.0265740603524516,1.54266122187386,0.0146238075484121,5.90534674498924e-05,0.00969400084010325,0.212240488429094
"44",49,50,NA,29,104,"AD051018D9WTS_T1","29_104_AD051018D9WTS_T1.fcs compensated","AD","5/10/2018","Spleen",1328,0,1,"","",9,"WT",6.7,0.059,10.6,594739,446760,443291,437930,433603,12770,5420,621,412819,12589,5179,159048,21431,1178,2,814,521,2393,1365,100448,325,1,211,99,9,0.366805580219694,0.0294509032455956,0.0124999135153585,0.00143218566292207,0.00187729328440993,0.0935737548653586,0.000386174937246573,0.0494253960420016,0.1900865835253,0.263564394670786,0.631557768723907,0.275891341256367,0.5,3.88813915032876,0.312179574403314,0.1324990832628,0.015181168026974,0.0198993088147453,0.0292118149691877,5.11678251642403e-05,0.523909198045216,0.059341148744708,0.034922040674594,2.4555844862697,0.00805928681238199,2.55839125821202e-05,0.013635866450924,0.29854370795239
"46",51,52,NA,11,108,"AD052218D4WTS_T2","11_108_AD052218D4WTS_T2.fcs compensated","AD","5/22/2018","Spleen",1372,0,2,"","",4,"WT",2.9,0.027,4.8,631926,500521,489568,471063,457170,7798,3099,236,443831,7551,2948,182210,15353,220,0,260,206,4008,2029,125941,93,0,155,108,4,0.398560710457817,0.0170571122339611,0.00677866001706149,0.000516219349476125,0.000568716232473697,0.0291352138789564,0,0.0335826935275718,0.530790623758443,0.688263229308005,0.691185994182537,0.422727272727273,NA,1.91309141019752,0.0818741387230133,0.0325375680818951,0.0024778528774854,0.00272983791587375,0.00238542054285034,0,0.161196928932345,0.0434580251624735,0.0223944116818742,1.32230198831944,0.00100838232038674,NA,0.0077971471443883,0.074076991578625
"48",53,54,NA,13,112,"AD052218D4WTS_T3","13_112_AD052218D4WTS_T3.fcs compensated","AD","5/22/2018","Spleen",1372,0,3,"","",4,"WT",2.9,0.027,5.45,934998,749203,730455,700513,675902,7346,2889,266,662635,6840,2752,189312,18422,122,0,633,230,3402,1922,118384,59,0,189,199,4,0.280087941743034,0.0108684395075026,0.00427428828439626,0.000393548177102598,0.000936526301150167,0.0178362573099415,0,0.0272554305209927,0.497368421052632,0.698401162790698,0.625338066260987,0.483606557377049,NA,1.52647928249953,0.059232995315889,0.0232948711499596,0.00214483756520916,0.00510406834126841,0.00105649494569276,0,0.14854209633941,0.0294606213544816,0.0162691650981913,0.954565602705718,0.000510927883572727,NA,0.00564095558724983,0.0535920397286392
"50",55,56,NA,1,116,"KV053118D0WTS_T2","1_116_KV053118D0WTS_T2.fcs compensated","KV","5/31/2018","Spleen",NA,0,2,"5/31/2018","",0,"WT",1.314,0.003,1.325,49588,25564,24886,24178,23558,345,47,454,22591,200,7,3232,170,186,0,115,425,197,6,2881,186,0,391,94,0,0.137193310128194,0.0146447066813821,0.00199507598268104,0.0192715850241956,0.00488156889379404,0.93,0,0.00721623227778249,0.985,0.857142857142857,0.891398514851485,1,NA,0.181781135919857,0.0194042363528313,0.00264347567705238,0.0255348501570592,0.0064680787842771,0.0180459398081331,0,0.00956150776806181,0.0191131728075388,0.00226583629461633,0.162039434586977,0.0180459398081331,NA,0.0038187537142372,0.0155854826385941
"52",57,58,NA,3,120,"KV053118D0WTS_T5","3_120_KV053118D0WTS_T5.fcs compensated","KV","5/31/2018","Spleen",NA,0,5,"5/31/2018","",0,"WT",1.277,0.002,0.95,29139,8475,8021,7700,7496,477,33,410,6422,307,4,941,60,298,0,79,399,305,4,916,297,0,398,77,0,0.125533617929562,0.0636339381003202,0.00440234791889007,0.0546958377801494,0.0105389541088581,0.970684039087948,0,0.0080042689434365,0.993485342019544,1,0.973432518597237,0.996644295302013,NA,0.119256937033084,0.0604522411953042,0.00418223052294557,0.0519610458911419,0.0100120064034152,0.0586800256553767,0,0.00760405549626467,0.0600584155197647,0.00418223052294557,0.116088580576307,0.058483112817607,NA,0.0118970010672359,0.0485552401280683
"54",59,60,NA,5,124,"KV053118D0WTS_T6","5_124_KV053118D0WTS_T6.fcs compensated","KV","5/31/2018","Spleen",NA,0,6,"5/31/2018","",0,"WT",1.377,9e-04,0.665,61881,27257,26491,25658,24980,1426,73,350,22810,879,31,2746,735,866,21,613,341,876,31,2691,865,21,341,590,0,0.109927942353883,0.0570856685348279,0.00292233787029624,0.0140112089671737,0.0245396317053643,0.985210466439135,0.67741935483871,0.0294235388310649,0.996587030716723,1,0.979970866715222,0.998845265588915,1,0.0731020816653323,0.0379619695756605,0.001943354683747,0.00931745396317054,0.0163188550840673,0.0374005297525848,0.00131646607608668,0.0195666533226581,0.0378324065395661,0.001943354683747,0.0716379103282626,0.0373573420738866,0.00131646607608668,0.00747091561248999,0.0304910539631705
"56",61,62,NA,7,128,"KV060818D0WTS_T2","7_128_KV060818D0WTS_T2.fcs compensated","KV","6/8/2018","Spleen",NA,0,2,"6/8/2018","",0,"WT",1.442,0.003,0.33,22550,4858,4695,4607,4184,82,3,15,4012,50,1,500,146,39,0,32,14,48,1,456,39,0,13,30,0,0.119502868068834,0.0195984703632887,0.000717017208413002,0.00358508604206501,0.00764818355640535,0.78,0,0.0348948374760994,0.96,1,0.912,1,NA,0.0394359464627151,0.00646749521988528,0.000236615678776291,0.00118307839388145,0.00252390057361377,0.00504464627151052,0,0.0115152963671128,0.00620879541108987,0.000236615678776291,0.0359655831739962,0.00504464627151052,NA,0.00127280305927342,0.00519469216061186
