A,X,Unnamed0,Print_Alone,PrintNumber,FileNumber,FileID,BatchFile,Initials,Organ,CageNumber,Tag,TagNumber,DOB,Sex,Age,Genotype,MouseWeight,OrganWeight,TotalLiveCountInMillions,All_Event,AllCells_events,LiveCells_events,Singlets1_events,Singlets2_events,pCD4_events,pCD8_events,pDP_events,pDN_events,CD4_events,CD8_events,Bcells_events,TCRb_events,x4Tregs_events,x8Tregs_events,DN_events,DP_events,CD4prol_events,CD8Prol_events,BcellProl_events,x4tregProl_events,x8tregsProl,DPprol_events,DNProl_events,intage,hours,Bratio,CD4Ratio,CD8Ratio,DPRatio,DNRatio,X4TregRatio,X8TregRatio,TCRbRatio,CD4ProlRatio,CD8ProlRatio,BProlRatio,X4TregProlRatio,X8TregProlRatio,Bct,CD4CT,CD8ct,DPct,DNct,X4TregCT,X4Treg_Cells,X8TregCT,TCRbCT,CD4ProlCT,CD8ProlCT,BprolCT,X4TregProlCT,X8TregProlCT,ActivatedCD4CT(10xx6),NaiveT_CT(10xx6),NaiveT_Cells,Activated_Cells
50,55,56,NA,1,116,KV053118D0WTS_T2,1_116_KV053118D0WTS_T2.fcs compensated,KV,Spleen,NA,0,2,5/31/2018,,1,WT,1.314,0.003,1.325,49588,25564,24886,24178,23558,345,47,454,22591,200,7,3232,170,186,0,115,425,197,6,2881,186,0,391,94,1,1,0.137193310128194,0.014644706681382,0.001995075982681,0.019271585024196,0.004881568893794,0.93,0,0.007216232277782,0.985,0.857142857142857,0.891398514851485,1,NA,0.181781135919857,0.019404236352831,0.002643475677052,0.025534850157059,0.006468078784277,0.018045939808133,18045.939808133,0,0.009561507768062,0.019113172807539,0.002265836294616,0.162039434586977,0.018045939808133,NA,0.003818753714237,0.015585482638594,15585.4826385941,3818.753714237
52,57,58,NA,3,120,KV053118D0WTS_T5,3_120_KV053118D0WTS_T5.fcs compensated,KV,Spleen,NA,0,5,5/31/2018,,1,WT,1.277,0.002,0.95,29139,8475,8021,7700,7496,477,33,410,6422,307,4,941,60,298,0,79,399,305,4,916,297,0,398,77,1,1,0.125533617929562,0.06363393810032,0.00440234791889,0.054695837780149,0.010538954108858,0.970684039087948,0,0.008004268943437,0.993485342019544,1,0.973432518597237,0.996644295302013,NA,0.119256937033084,0.060452241195304,0.004182230522946,0.051961045891142,0.010012006403415,0.058680025655377,58680.025655377,0,0.007604055496265,0.060058415519765,0.004182230522946,0.116088580576307,0.058483112817607,NA,0.011897001067236,0.048555240128068,48555.2401280683,11897.001067236
54,59,60,NA,5,124,KV053118D0WTS_T6,5_124_KV053118D0WTS_T6.fcs compensated,KV,Spleen,NA,0,6,5/31/2018,,1,WT,1.377,0.0009,0.665,61881,27257,26491,25658,24980,1426,73,350,22810,879,31,2746,735,866,21,613,341,876,31,2691,865,21,341,590,1,1,0.109927942353883,0.057085668534828,0.002922337870296,0.014011208967174,0.024539631705364,0.985210466439135,0.67741935483871,0.029423538831065,0.996587030716723,1,0.979970866715222,0.998845265588915,1,0.073102081665332,0.037961969575661,0.001943354683747,0.009317453963171,0.016318855084067,0.037400529752585,37400.529752585,0.001316466076087,0.019566653322658,0.037832406539566,0.001943354683747,0.071637910328263,0.037357342073887,0.001316466076087,0.00747091561249,0.030491053963171,30491.0539631705,7470.91561249
56,61,62,NA,7,128,KV060818D0WTS_T2,7_128_KV060818D0WTS_T2.fcs compensated,KV,Spleen,NA,0,2,6/8/2018,,1,WT,1.442,0.003,0.33,22550,4858,4695,4607,4184,82,3,15,4012,50,1,500,146,39,0,32,14,48,1,456,39,0,13,30,1,1,0.119502868068834,0.019598470363289,0.000717017208413,0.003585086042065,0.007648183556405,0.78,0,0.034894837476099,0.96,1,0.912,1,NA,0.039435946462715,0.006467495219885,0.000236615678776,0.001183078393881,0.002523900573614,0.005044646271511,5044.646271511,0,0.011515296367113,0.00620879541109,0.000236615678776,0.035965583173996,0.005044646271511,NA,0.001272803059273,0.005194692160612,5194.69216061186,1272.803059273
36,41,42,NA,9,88,GM042718D4WTS,9_88_GM042718D4WTS.fcs compensated,GM,Spleen,1307,0,2,4/23/2018,,4,WT,2.4,0.013,11.5,538608,302612,289484,281555,260842,5269,2426,25613,223420,5060,2103,83512,9763,119,4,7166,24418,3639,1781,65589,50,1,23479,6186,4,96,0.320163163907653,0.020199967796597,0.00930064943529,0.098193542450986,0.027472569601521,0.023517786561265,0.00190204469805,0.037428788308631,0.719169960474308,0.846885401806942,0.785384136411534,0.420168067226891,0.25,3.68187638493801,0.232299629660867,0.106957468505839,1.12922573818634,0.315934550417494,0.005463173108625,5463.173108625,0.000203437885888,0.43043106554926,0.167062915481403,0.090580718691821,2.89168730495856,0.002295450885977,5.08594714721059E-05,0.022122668064703,0.210176961596164,210176.961596164,22122.668064703
46,51,52,NA,11,108,AD052218D4WTS_T2,11_108_AD052218D4WTS_T2.fcs compensated,AD,Spleen,1372,0,2,,,4,WT,2.9,0.027,4.8,631926,500521,489568,471063,457170,7798,3099,236,443831,7551,2948,182210,15353,220,0,260,206,4008,2029,125941,93,0,155,108,4,96,0.398560710457817,0.017057112233961,0.006778660017061,0.000516219349476,0.000568716232474,0.029135213878956,0,0.033582693527572,0.530790623758443,0.688263229308005,0.691185994182537,0.422727272727273,NA,1.91309141019752,0.081874138723013,0.032537568081895,0.002477852877485,0.002729837915874,0.00238542054285,2385.42054285,0,0.161196928932345,0.043458025162474,0.022394411681874,1.32230198831944,0.001008382320387,NA,0.007797147144388,0.074076991578625,74076.991578625,7797.147144388
48,53,54,NA,13,112,AD052218D4WTS_T3,13_112_AD052218D4WTS_T3.fcs compensated,AD,Spleen,1372,0,3,,,4,WT,2.9,0.027,5.45,934998,749203,730455,700513,675902,7346,2889,266,662635,6840,2752,189312,18422,122,0,633,230,3402,1922,118384,59,0,189,199,4,96,0.280087941743034,0.010868439507503,0.004274288284396,0.000393548177103,0.00093652630115,0.017836257309942,0,0.027255430520993,0.497368421052632,0.698401162790698,0.625338066260987,0.483606557377049,NA,1.52647928249953,0.059232995315889,0.02329487114996,0.002144837565209,0.005104068341268,0.001056494945693,1056.494945693,0,0.14854209633941,0.029460621354482,0.016269165098191,0.954565602705718,0.000510927883573,NA,0.00564095558725,0.053592039728639,53592.0397286392,5640.95558725
13,16,17,NA,15,38,GM030918D7WTS,15_38_GM030918D7WTS.fcs compensated,GM,Spleen,8813,0,6,3/2/2018,,7,WT,3.3,0.019,7.5,717831,483022,469448,456828,433418,23366,8910,1177,394730,22219,8303,144428,34225,1188,43,169,184,3538,2038,41690,495,10,60,44,7,168,0.333230276545967,0.053911005080546,0.020557521838041,0.002715623255149,0.000389923814885,0.05346775282416,0.005178851017704,0.078965340618064,0.159233088797876,0.245453450560039,0.28865593929155,0.416666666666667,0.232558139534884,2.49922707409475,0.404332538104094,0.154181413785307,0.020367174413615,0.00292442861164,0.021618752206115,21618.752206115,0.000798482571693,0.592240054635479,0.0643831189438,0.037844360025829,0.721416738575694,0.009007813419214,0.000185693621324,0.021017755222903,0.383314782881191,383314.782881191,21017.755222903
32,37,38,NA,17,80,JA042618D7WTS_1,17_80_JA042618D7WTS_1.fcs compensated,JA,Spleen,8813,1,10021,4/19/2018,,7,WT,4.439,0.029,8.8,616794,500762,494505,488334,479948,25375,9077,1896,440855,24618,8173,137416,37193,3215,7,146,191,6263,2427,61327,1807,2,71,31,7,168,0.286314350721328,0.052870310950353,0.018912465517098,0.003950427963029,0.000304199621626,0.130595499228207,0.000856478649211,0.077493811829615,0.254407344219677,0.296953383090664,0.446287186353845,0.562052877138414,0.285714285714286,2.51956628634769,0.465258736363106,0.16642969655046,0.034763766074658,0.002676956670306,0.060760696945625,60760.696945625,0.00014254348169,0.681945544100611,0.11836523949314,0.049421861437412,1.12445014876612,0.034150724535224,4.07267090543153E-05,0.024184781868036,0.44107395449507,441073.95449507,24184.781868036
34,39,40,NA,19,84,JA042618D7WTS_3,19_84_JA042618D7WTS_3.fcs compensated,JA,Spleen,8813,1,10022,4/19/2018,,7,WT,4.018,0.028,11.6,535957,392565,386915,380653,370786,11340,4322,2098,351098,10912,3751,91985,18912,1226,22,67,217,3191,1274,44377,676,21,142,15,7,168,0.24808110338578,0.030583678995431,0.011656319278506,0.0056582503115,0.000180697221578,0.112353372434018,0.005865102639296,0.051005162007196,0.292430351906158,0.339642761930152,0.482437353916399,0.551386623164764,0.954545454545455,2.87774079927505,0.354770676347003,0.135213303630666,0.065635703613405,0.002096087770304,0.039859681928283,39859.681928283,0.000793039903992,0.591659879283468,0.10374571373014,0.04592421989482,1.38832965645952,0.021978095418858,0.000756992635629,0.018441462244637,0.336329214102366,336329.214102366,18441.462244637
38,43,44,NA,23,92,AD050318D9WTS_1,23_92_AD050318D9WTS_1.fcs compensated,AD,Spleen,1293,1,10037,,,9,WT,6.2,0.054,7.25,607724,386577,375993,367162,359208,8750,4135,356,345034,8560,3903,69060,13295,961,4,3196,170,3158,1610,49525,647,1,134,1774,9,216,0.192256297187145,0.024359145676043,0.011511436270907,0.00099106924122,0.008897351952072,0.112266355140187,0.001024852677428,0.03701198191577,0.36892523364486,0.412503202664617,0.717130031856357,0.673257023933403,0.25,1.3938581546068,0.176603806151311,0.083457912964077,0.007185251998842,0.064505801652524,0.019826665620492,19826.665620492,8.55320655537551E-05,0.268336868889334,0.065153600446944,0.034426656385386,0.999577542816418,0.013348441890175,2.13830163884388E-05,0.007713976547015,0.168889829604296,168889.829604296,7713.976547015
40,45,46,NA,25,96,AD050318D9WTS_3,25_96_AD050318D9WTS_3.fcs compensated,AD,Spleen,1293,1,10036,,,9,WT,5.7,0.054,9.15,609005,364344,348474,336383,323468,6878,3548,1656,310315,6732,3323,53959,12847,777,3,5261,1496,2572,1498,37666,493,1,1343,3013,9,216,0.166814027971855,0.021263308889906,0.010968627499474,0.005119517231998,0.016264359998516,0.11541889483066,0.000902798675895,0.039716447994856,0.382055852644088,0.450797472163707,0.698048518319465,0.634491634491634,0.333333333333333,1.52634835594247,0.194559276342637,0.100362941620191,0.046843582672784,0.148818893986422,0.02245581665452,22455.81665452,9.06075308036634E-05,0.36340549915293,0.074332510212903,0.045243360381296,1.06546520830499,0.014248027812971,3.02025102678878E-05,0.008498263584565,0.186061012758072,186061.012758072,8498.263584565
42,47,48,NA,27,100,AD051018D9WTS_T5,27_100_AD051018D9WTS_T5.fcs compensated,AD,Spleen,1328,0,5,,,9,WT,4.7,0.027,12.5,325553,240283,236301,233332,230924,4100,2483,569,222715,3961,2276,48802,7630,540,1,334,537,1080,450,28499,261,1,255,21,9,216,0.211333598932982,0.017754759141536,0.010752455353276,0.00246401413452,0.001446363305676,0.136329209795506,0.000439367311072,0.033041173719492,0.272658419591012,0.197715289982425,0.583971968361952,0.483333333333333,1,2.64166998666228,0.221934489269197,0.134405691915955,0.030800176681506,0.018079541320954,0.030256153548439,30256.153548439,5.90534674498924E-05,0.413014671493652,0.060512307096878,0.026574060352452,1.54266122187386,0.014623807548412,5.90534674498924E-05,0.009694000840103,0.212240488429094,212240.488429094,9694.000840103
44,49,50,NA,29,104,AD051018D9WTS_T1,29_104_AD051018D9WTS_T1.fcs compensated,AD,Spleen,1328,0,1,,,9,WT,6.7,0.059,10.6,594739,446760,443291,437930,433603,12770,5420,621,412819,12589,5179,159048,21431,1178,2,814,521,2393,1365,100448,325,1,211,99,9,216,0.366805580219694,0.029450903245596,0.012499913515359,0.001432185662922,0.00187729328441,0.093573754865359,0.000386174937247,0.049425396042002,0.1900865835253,0.263564394670786,0.631557768723907,0.275891341256367,0.5,3.88813915032876,0.312179574403314,0.1324990832628,0.015181168026974,0.019899308814745,0.029211814969188,29211.814969188,5.11678251642403E-05,0.523909198045216,0.059341148744708,0.034922040674594,2.4555844862697,0.008059286812382,2.55839125821202E-05,0.013635866450924,0.29854370795239,298543.70795239,13635.866450924
6,5,6,NA,31,11,JA102517D12WTS,31_11_JA102517D12WTS.fcs compensated,JA,Spleen,7699,0,3,10/13/2017,,12,WT,10.2,NA,15.6,100000,70836,67216,64684,62524,2913,1454,35,56587,2454,1352,19291,5232,172,1,62,8,673,442,10762,129,0,1,22,12,288,0.308537521591709,0.046590109397991,0.0232550700531,0.000559785042544,0.00099161921822,0.070089649551752,0.000739644970414,0.083679866931099,0.274246128769356,0.326923076923077,0.557876730081385,0.75,0,4.81318533683066,0.726805706608662,0.362779092828354,0.008732646663681,0.015469259804235,0.050941557268415,50941.557268415,0.000268327731382,1.30540592412514,0.199323651404902,0.118600857270808,2.68516409698676,0.038206167951311,0,0.031252645384173,0.69555306122449,695553.06122449,31252.645384173
18,23,24,NA,33,52,GM032118D12WTS_1,33_52_GM032118D12WTS_1.fcs compensated,GM,Spleen,7998,0,8,3/9/2018,F,12,WT,9.8,0.07,15.8,677827,456513,444985,434469,416684,24233,10334,459,377842,22109,10020,275106,36237,2198,87,344,120,5222,3100,150942,1057,69,62,157,12,288,0.660226934559522,0.058156780677924,0.024800568296359,0.001101554175346,0.000825565656469,0.099416527206115,0.008682634730539,0.086965182248419,0.236193405400516,0.30938123752495,0.548668513227629,0.480891719745223,0.793103448275862,10.4315855660405,0.918877134711196,0.39184897908247,0.017404555970472,0.013043937372205,0.091351573662093,91351.573662093,0.003402281554908,1.37404987952501,0.217032719592106,0.121230722071423,5.72348254312621,0.043930215359796,0.002698361233203,0.039511716792581,0.879365417918615,879365.417918615,39511.716792581
30,35,36,NA,35,76,JA033018D12WTS,35_76_JA033018D12WTS.fcs compensated,JA,Spleen,7699,1,9948,3/18/2018,M,12,WT,10.9,0.095,31.64,757389,594789,586895,567243,548188,21392,10114,1406,513707,21075,9732,267688,36969,2151,11,172,160,5464,3019,187514,1116,5,100,87,12,288,0.488314227965588,0.039023108860464,0.018449874860449,0.002564813531124,0.000313760972513,0.102064056939502,0.001130291820797,0.067438542981605,0.25926453143535,0.310213727907933,0.700494605660321,0.518828451882845,0.454545454545455,15.4502621728312,1.23469116434508,0.583754040584617,0.081150700124775,0.009927397170314,0.126017589300416,126017.589300416,0.00065981241743,2.13375549993798,0.320111626191294,0.181088517111073,10.822825308106,0.065381510766743,0.000299914735196,0.053091720066838,1.18159944427824,1181599.44427824,53091.720066838
8,7,8,NA,37,19,JA103117D14WTS,37_19_JA103117D14WTS.fcs compensated,JA,Spleen,7812,1,9172,10/17/2017,F,14,WT,10.2,0.083,30,50000,40722,39964,39323,37760,4163,643,10,31551,1639,631,18738,3405,261,35,960,2,557,262,14732,177,35,1,190,14,336,0.496239406779661,0.110248940677966,0.017028601694915,0.000264830508475,0.025423728813559,0.159243441122636,0.055467511885895,0.090174788135593,0.339841366687004,0.415213946117274,0.786209840964884,0.67816091954023,1,14.8871822033898,3.30746822033898,0.510858050847458,0.007944915254237,0.76271186440678,0.52669262081054,526692.62081054,0.028336025007387,2.7052436440678,1.12401452027383,0.212115387198152,11.7044491525424,0.357182352043929,0.028336025007387,0.20109406779661,3.10637415254237,3106374.15254237,201094.06779661
20,25,26,NA,39,56,GM032118D14WTS_3,39_56_GM032118D14WTS_3.fcs compensated,GM,Spleen,8368,1,9918,3/7/2018,F,14,WT,8.7,0.06,11.55,894745,536986,521997,509863,487160,23444,10704,454,449523,22282,10257,294595,40835,2816,30,384,157,5559,3166,169129,1302,17,75,167,14,336,0.604719188767551,0.04812381968963,0.021972247310945,0.000931932014123,0.000788242055998,0.126380037698591,0.00292483182217,0.083822563428853,0.249483888340364,0.308667251633031,0.574106824623636,0.462357954545455,0.566666666666667,6.98450663026521,0.555830117415223,0.253779456441416,0.010763814763117,0.009104195746777,0.070245831192948,70245.831192948,0.000742262230013,0.968150607603252,0.138670658949431,0.078333407340696,4.00985292306429,0.032478718825717,0.000420615263674,0.033794471138846,0.522035646276377,522035.646276377,33794.471138846
22,27,28,NA,41,60,GM032118D14WTS_5,41_60_GM032118D14WTS_5.fcs compensated,GM,Spleen,8368,1,9920,3/7/2018,F,14,WT,8.8,0.063,9.85,664466,439940,432762,421411,402083,19178,10478,4359,363791,18469,9813,227203,33353,1794,55,530,168,3883,2747,124917,843,39,106,216,14,336,0.565064924406155,0.04769661985212,0.026059296214961,0.010841045256825,0.001318135807781,0.097135740971357,0.00560480994599,0.082950535088527,0.210244192972007,0.279934780393356,0.549803479707574,0.469899665551839,0.709090909090909,5.56588950540063,0.469811705543383,0.256684067717362,0.106784295779727,0.012983637706643,0.045635508134974,45635.508134974,0.001438665415719,0.817062770621986,0.098775182880771,0.071854798126933,3.06014541773713,0.021444110009912,0.00102014456751,0.028564551697038,0.441247153846345,441247.153846345,28564.551697038
24,29,30,NA,43,64,JA032218D14WTS_1,43_64_JA032218D14WTS_1.fcs compensated,JA,Spleen,8196,1,9912,3/8/2018,M,14,WT,12.1,0.08,49.8,501010,373582,363740,348453,336773,18492,9890,340,299316,16732,9536,157180,36399,1576,29,547,99,4298,2791,116495,960,22,66,317,14,336,0.466723876320251,0.054909390004543,0.029366962315863,0.001009582122082,0.001624239472879,0.094190772173082,0.00304110738255,0.108081704887268,0.256873057614153,0.292680369127517,0.741156635704288,0.609137055837564,0.758620689655172,23.2428490407485,2.73448762222625,1.46247472332996,0.050277189679695,0.080887125749392,0.257563500635224,257563.500635224,0.004447542677912,5.38246890338596,0.70241619652931,0.428037641863875,17.2265917992238,0.156891472468157,0.003373997893588,0.166256847431356,2.56823077479489,2568230.77479489,166256.847431356
26,31,32,NA,45,68,JA032218D14WTS_3,45_68_JA032218D14WTS_3.fcs compensated,JA,Spleen,8196,1,9910,3/8/2018,M,14,WT,11.4,0.089,45.2,565865,426729,419785,401454,389847,18510,9943,574,353078,17092,9509,194583,35661,1504,25,560,95,3605,2161,140951,852,22,50,245,14,336,0.499126580427706,0.047480165295616,0.025504877554528,0.001472372494851,0.001436460970586,0.087994383337234,0.002629088232201,0.091474347628685,0.210917388251814,0.227258386791461,0.724374688436297,0.566489361702128,0.88,22.5605214353323,2.14610347136184,1.15282046546466,0.066551236767245,0.064928035870483,0.188845051540382,188845.051540382,0.003030866719594,4.13464051281657,0.452650539097791,0.261988119241679,16.3422706856793,0.106978712707716,0.002667162713242,0.1304830910588,2.01562038030304,2015620.38030304,130483.0910588
2,1,2,NA,51,3,JP090617D19WTS,51_3_JP090617D19WTS.fcs compensated,JP,Spleen,1277,1,8864,8/18/2017,F,18,WT,11.9,0.074,72.2,55900,34584,31537,30671,29383,1717,1630,38,25579,1655,1552,19710,3475,146,19,103,14,0,0,0,0,0,0,0,18,432,0.670796038525678,0.058435149576286,0.055474253820236,0.001293264812987,0.003505428308886,0.08821752265861,0.012242268041237,0.118265663819215,0,0,0,0,0,48.431473981554,4.21901779940782,4.00524112582105,0.093373719497669,0.253091923901576,0.372191298316339,372191.298316339,0.049033235432088,8.53878092774734,0,0,0,0,0,0.178211311846986,4.04080648756083,4040806.48756083,178211.311846986
4,3,4,NA,53,7,JP091317D19WTS,53_7_JP091317D19WTS.fcs compensated,JP,Spleen,1218,1,NA,8/25/2017,M,18,WT,11.1,0.08,40.25,30000,18838,18609,17795,16490,413,539,26,15043,387,508,8727,1167,50,17,71,5,0,0,0,0,0,0,0,18,432,0.529229836264403,0.02504548211037,0.032686476652517,0.001576713159491,0.004305639781686,0.129198966408269,0.033464566929134,0.070770163735597,0,0,0,0,0,21.3015009096422,1.00808065494239,1.3156306852638,0.063462704669497,0.173302001212856,0.130242978674727,130242.978674727,0.044027011121033,2.84849909035779,0,0,0,0,0,0.042581326864767,0.965499328077623,965499.328077623,42581.326864767
10,9,10,NA,47,23,JA111417D18WTS,47_23_JA111417D18WTS.fcs compensated,JA,Spleen,1217,1,9206,10/27/2017,,18,WT,10.9,NA,51.245,114356,91493,89887,89613,88453,11146,3790,198,70868,9240,3640,55324,15557,946,21,381,48,2109,1023,37869,536,17,22,87,18,432,0.625462109821035,0.126010423614801,0.042847613987089,0.002238476931252,0.004307372276802,0.102380952380952,0.005769230769231,0.175878715249907,0.228246753246753,0.281043956043956,0.684494975056034,0.566596194503171,0.80952380952381,32.0518058177789,6.45740415814048,2.19572597876839,0.11471075034199,0.220731292324737,0.661115187619145,661115.187619145,0.01266764987751,9.01290476298147,1.47388153349765,0.617095515461555,21.9393000237414,0.374585349433257,0.010254764186556,0.272760751639854,6.18464340650063,6184643.40650063,272760.751639854
12,11,12,NA,49,26,JP120617D18WTS,49_26_JP120617D18WTS.fcs compensated,JP,Spleen,1307,1,9373,11/18/2017,M,18,WT,11.1,0.093,19.75,817674,311227,299279,287199,276226,13584,5565,413,255628,12464,5319,128445,26310,1271,30,1437,65,665,250,29938,193,9,34,85,18,432,0.464999674179838,0.049177123080376,0.020146546668308,0.001495152520038,0.005202261915967,0.101973684210526,0.005640157924422,0.095248093952054,0.053353658536585,0.047001316036849,0.233080306746078,0.151848937844217,0.3,9.1837435650518,0.97124818083743,0.39789429669908,0.029529262270749,0.102744672840355,0.099041755282764,99041.755282764,0.00224418667061,1.88114985555306,0.05181964379468,0.018701555588413,2.1405497672196,0.015039385341915,0.000673256001183,0.041025523158573,0.930222657678857,930222.657678857,41025.523158573
16,19,20,NA,55,44,GM031318D19WTS,55_44_GM031318D19WTS.fcs compensated,GM,Spleen,8368,1,9887,2/22/2018,M,18,WT,10.9,0.07,12.975,469732,381972,371257,369662,366826,23315,10036,578,331717,22298,9758,243157,34311,2512,24,308,250,4368,2093,117454,956,1,137,162,18,432,0.662867408526113,0.063558744472856,0.027359020352974,0.001575678932246,0.000839635140366,0.112655843573415,0.002459520393523,0.09353480941918,0.195892008251861,0.214490674318508,0.483037708147411,0.380573248407643,0.041666666666667,8.60070462562632,0.824674709535311,0.354983289079836,0.020444434145889,0.010894265946252,0.092904425076361,92904.425076361,0.000873088638852,1.21361415221386,0.161547185005392,0.076140605046536,4.15446465081537,0.035356938842755,3.63786932854925E-05,0.034834259730772,0.789840449804539,789840.449804539,34834.259730772
28,33,34,NA,57,72,GM032718D20WTS,57_72_GM032718D20wts.fcs compensated,GM,Spleen,8368,1,9914,3/7/2018,M,18,WT,12.9,0.102,28.2,562118,434681,431050,427054,420510,37402,14912,872,364598,36355,14615,319847,51602,4543,42,57,260,11427,5656,254914,2615,10,155,21,18,432,0.760616869991201,0.088944377065944,0.035461701267509,0.002073672445364,0.000135549689663,0.124962178517398,0.002873759835785,0.122712896245036,0.314317150323202,0.386999657885734,0.796987309557382,0.575610829848118,0.238095238095238,21.4493957337519,2.50823143325961,1.00001997574374,0.058477562959264,0.003822501248484,0.313434064125937,313434.064125937,0.002873817241275,3.46050367411001,0.788380156453242,0.387007388491727,17.0948961974745,0.180416041754199,0.000684242200304,0.105947695740886,2.40228373751872,2402283.73751872,105947.695740886
