"","Print_Alone","PrintNumber","FileNumber","FileID","BatchFile","Initials","expDate","Organ","CageNumber","Tag","TagNumber","DOB","Sex","Age","Genotype","MouseWeight","OrganWeight","TotalLiveCountInMillions","CD4Ratio","X4TregRatio","CD4CT","X4TregCT"
"1",NA,52,1,"JP090617D19KOS","52_1_JP090617D19KOS.fcs compensated","JP","9/6/2017","Spleen",1277,1,8863,"8/18/2017","F","18","KO",11.7,0.186,112.5,0.0529013502658455,0.0113808801213961,5.95140190490762,0.0677321916340018
"2",NA,51,3,"JP090617D19WTS","51_3_JP090617D19WTS.fcs compensated","JP","9/6/2017","Spleen",1277,1,8864,"8/18/2017","F","18","WT",11.9,0.074,72.2,0.0584351495762856,0.0882175226586103,4.21901779940782,0.372191298316339
"3",NA,54,5,"JP091317D19KOS","54_5_JP091317D19KOS.fcs compensated","JP","9/13/2017","Spleen",1218,1,NA,"8/25/2017","F","18","KO",10.7,0.241,103.7,0.0276879917057998,0.0286458333333333,2.87124473989144,0.0822491982781403
"4",NA,53,7,"JP091317D19WTS","53_7_JP091317D19WTS.fcs compensated","JP","9/13/2017","Spleen",1218,1,NA,"8/25/2017","M","18","WT",11.1,0.08,40.25,0.0250454821103699,0.129198966408269,1.00808065494239,0.130242978674727
"5",NA,32,9,"JA102517D12KOS","32_9_JA102517D12KOS.fcs compensated","JA","10/25/2017","Spleen",7699,0,2,"10/13/2017",NA,"12","KO",4.5,0.033,10.9,0.0938522894014071,0.0767326732673267,1.02298995447534,0.0784967539325135
"6",NA,31,11,"JA102517D12WTS","31_11_JA102517D12WTS.fcs compensated","JA","10/25/2017","Spleen",7699,0,3,"10/13/2017",NA,"12","WT",10.2,NA,15.6,0.0465901093979912,0.0700896495517522,0.726805706608662,0.0509415572684148
"7",NA,38,17,"JA103117D14KOS","38_17_JA103117D14KOS.fcs compensated","JA","10/31/2017","Spleen",7812,1,9169,"10/17/2017","M","14","KO",9.7,0.166,30.4,0.0543221539914974,0.0971599402092676,1.65139348134152,0.160449291909116
"8",NA,37,19,"JA103117D14WTS","37_19_JA103117D14WTS.fcs compensated","JA","10/31/2017","Spleen",7812,1,9172,"10/17/2017","F","14","WT",10.2,0.083,30,0.110248940677966,0.159243441122636,3.30746822033898,0.52669262081054
"9",NA,48,21,"JA111417D18KOS","48_21_JA111417D18KOS.fcs compensated","JA","11/14/2017","Spleen",1217,1,9205,"10/27/2017","","18","KO",10.7,0.211,76,0.124052279398467,0.108989864086616,9.42797323428349,1.02755352141681
"10",NA,47,23,"JA111417D18WTS","47_23_JA111417D18WTS.fcs compensated","JA","11/14/2017","Spleen",1217,1,9206,"10/27/2017","","18","WT",10.9,NA,51.245,0.126010423614801,0.102380952380952,6.45740415814048,0.661115187619145
"11",NA,50,25,"JP120617D18KOS","50_25_JP120617D18KOS.fcs compensated","JP","12/6/2017","Spleen",1307,1,9371,"11/18/2017","M","18","KO",11.1,0.086,47.16,0.0621628775879502,0.0610212638514525,2.93160130704773,0.178890016864623
"12",NA,49,26,"JP120617D18WTS","49_26_JP120617D18WTS.fcs compensated","JP","12/6/2017","Spleen",1307,1,9373,"11/18/2017","M","18","WT",11.1,0.093,19.75,0.0491771230803762,0.101973684210526,0.97124818083743,0.0990417552827643
"13",NA,59,30,"JA022518WK8M1WTS","59_30_JA022518WK8M1WTS.fcs compensated","JA","2/25/2018","Spleen",9296,1,9549,"12/24/2017","F","56","WT",23,0.117,39.15,0.245044738584523,0.125162252123736,9.59350151558409,1.20074425544298
"14",NA,60,32,"JA022518WK8M2WTS","60_32_JA022518WK8M2WTS.fcs compensated","JA","2/25/2018","Spleen",9296,1,9550,"12/24/2017","F","56","WT",20.8,0.86,51.78,0.263114702354649,0.142797879098228,13.6240792879237,1.9454896269816
"15",NA,61,34,"JA022518WK8M3WTS","61_34_JA022518WK8M3WTS.fcs compensated","JA","2/25/2018","Spleen",9296,1,9553,"12/24/2017","F","56","WT",19.7,0.098,39.45,0.277153286356337,0.136867540099809,10.9336971467575,1.496468232673
"16",NA,62,36,"JA022518WK8M4WTS","62_36_JA022518WK8M4WTS.fcs compensated","JA","2/25/2018","Spleen",9319,1,9519,"12/25/2017","M","56","WT",22.6,0.085,38.4,0.234782870102845,0.147030923923354,9.01566221194924,1.32558114480377
"17",NA,15,38,"GM030918D7WTS","15_38_GM030918D7WTS.fcs compensated","GM","3/9/2018","Spleen",8813,0,6,"3/2/2018",NA,"7","WT",3.3,0.019,7.5,0.0539110050805458,0.0534677528241595,0.404332538104094,0.0216187522061147
"18",NA,16,40,"GM030918D7KOST3","16_40_GM030918D7KOST3.fcs compensated","GM","3/9/2018","Spleen",8813,0,3,"3/2/2018",NA,"7","KO",3.6,0.026,7.75,0.0297803376183461,0.0394151628239865,0.230797616542182,0.00909692563539811
"19",NA,18,42,"GM030918D7KOST5","18_42_GM030918D7KOST5.fcs compensated","GM","3/9/2018","Spleen",8813,0,5,"3/2/2018",NA,"7","KO",3.9,0.023,6.8,0.0461540377001419,0.0168698610717323,0.313847456360965,0.00529456298652606
"20",NA,55,44,"GM031318D19WTS","55_44_GM031318D19WTS.fcs compensated","GM","3/13/2018","Spleen",8368,1,9887,"2/22/2018","M","18","WT",10.9,0.07,12.975,0.0635587444728563,0.112655843573415,0.824674709535311,0.0929044250763612
"21",NA,56,46,"GM031318D19KOS","56_46_GM031318D19KOS.fcs compensated","GM","3/13/2018","Spleen",8368,1,9886,"2/22/2018","M","18","KO",12.4,0.199,104.48,0.0591140103203193,0.0584692427420992,6.17623179826697,0.361119596244343
"22",NA,63,48,"GM031318WK6WTSM1","63_48_GM031318WK6WTSM1.fcs compensated","GM","3/13/2018","Spleen",9760,1,9760,"1/27/2018","M","56","WT",24,0.081,75.5,0.221665402833185,0.119186046511628,16.7357379139055,1.99466643741315
"23",NA,64,50,"GM031318WK6WTSM2","64_50_GM031318WK6WTSM2.fcs compensated","GM","3/13/2018","Spleen",9761,1,9761,"1/27/2018","F","56","WT",23.3,0.153,130.2,0.162239745844443,0.122386459370453,21.1236149089465,2.58524443781087
"24",NA,33,52,"GM032118D12WTS_1","33_52_GM032118D12WTS_1.fcs compensated","GM","3/21/2018","Spleen",7998,0,8,"3/9/2018","F","12","WT",9.8,0.07,15.8,0.0581567806779238,0.0994165272061152,0.918877134711196,0.0913515736620928
"25",NA,34,54,"GM032118D12KOS_2","34_54_GM032118D12KOS_2.fcs compensated","GM","3/21/2018","Spleen",7998,0,9,"3/9/2018","F","12","KO",9.5,0.1,10.5,0.0596371141481935,0.0363873509369676,0.626189698556031,0.0227853843144723
"26",NA,39,56,"GM032118D14WTS_3","39_56_GM032118D14WTS_3.fcs compensated","GM","3/21/2018","Spleen",8368,1,9918,"3/7/2018","F","14","WT",8.7,0.06,11.55,0.0481238196896297,0.126380037698591,0.555830117415223,0.070245831192948
"27",NA,40,58,"GM032118D14KOS_4","40_58_GM032118D14KOS_4.fcs compensated","GM","3/21/2018","Spleen",8368,1,9917,"3/7/2018","M","14","KO",9.1,0.068,8.7,0.0406028941396106,0.0703913952793546,0.353245179014612,0.024865421026544
"28",NA,41,60,"GM032118D14WTS_5","41_60_GM032118D14WTS_5.fcs compensated","GM","3/21/2018","Spleen",8368,1,9920,"3/7/2018","F","14","WT",8.8,0.063,9.85,0.0476966198521201,0.0971357409713574,0.469811705543383,0.0456355081349737
"29",NA,42,62,"GM032118D14KOS_6","42_62_GM032118D14KOS_6.fcs compensated","GM","3/21/2018","Spleen",8368,1,9919,"3/7/2018","F","14","KO",11,0.122,10.4,0.0549561812466584,0.0623818525519849,0.571544284965247,0.0356539913116317
"30",NA,43,64,"JA032218D14WTS_1","43_64_JA032218D14WTS_1.fcs compensated","JA","3/22/2018","Spleen",8196,1,9912,"3/8/2018","M","14","WT",12.1,0.08,49.8,0.0549093900045431,0.0941907721730815,2.73448762222625,0.257563500635224
"31",NA,44,66,"JA032218D14KOS_2","44_66_JA032218D14KOS_2.fcs compensated","JA","3/22/2018","Spleen",8196,1,9913,"3/8/2018","M","14","KO",11.7,0.141,127.35,0.0689356831008412,0.0508634571603087,8.77895924289213,0.44652821736294
"32",NA,45,68,"JA032218D14WTS_3","45_68_JA032218D14WTS_3.fcs compensated","JA","3/22/2018","Spleen",8196,1,9910,"3/8/2018","M","14","WT",11.4,0.089,45.2,0.047480165295616,0.0879943833372338,2.14610347136184,0.188845051540382
"33",NA,46,70,"JA032218D14KOS_4","46_70_JA032218D14KOS_4.fcs compensated","JA","3/22/2018","Spleen",8196,1,9911,"3/8/2018","M","14","KO",11.6,0.133,68.88,0.0614751636734939,0.0784372203996421,4.23440927383026,0.332135293473713
"34",NA,57,72,"GM032718D20WTS","57_72_GM032718D20wts.fcs compensated","GM","3/27/2018","Spleen",8368,1,9914,"3/7/2018","M","18","WT",12.9,0.102,28.2,0.0889443770659437,0.124962178517398,2.50823143325961,0.313434064125937
"35",NA,58,74,"GM032718D20KOS","58_74_GM032718D20kos.fcs compensated","GM","3/27/2018","Spleen",8368,1,9915,"3/7/2018","M","18","KO",12.5,0.163,19,0.112935352818207,0.0439726392466909,2.14577170354593,0.0943552450257827
"36",NA,35,76,"JA033018D12WTS","35_76_JA033018D12WTS.fcs compensated","JA","3/30/2018","Spleen",7699,1,9948,"3/18/2018","M","12","WT",10.9,0.095,31.64,0.0390231088604639,0.102064056939502,1.23469116434508,0.126017589300416
"37",NA,36,78,"JA033018D12KOS","36_78_JA033018D12KOS.fcs compensated","JA","3/30/2018","Spleen",7699,1,9949,"3/18/2018","M","12","KO",13.2,0.142,142.2,0.0440283139994757,0.0687034739454094,6.26082625072544,0.430140513193451
"38",NA,17,80,"JA042618D7WTS_1","17_80_JA042618D7WTS_1.fcs compensated","JA","4/26/2018","Spleen",8813,1,10021,"4/19/2018",NA,"7","WT",4.439,0.029,8.8,0.052870310950353,0.130595499228207,0.465258736363106,0.0607606969456246
"39",NA,20,82,"JA042618D7KOS_2","20_82_JA042618D7KOS_2.fcs compensated","JA","4/26/2018","Spleen",8813,1,10025,"4/19/2018",NA,"7","KO",4.549,0.034,7.7,0.0372771937102189,0.011021680806323,0.287034391568686,0.00316360144430718
"40",NA,19,84,"JA042618D7WTS_3","19_84_JA042618D7WTS_3.fcs compensated","JA","4/26/2018","Spleen",8813,1,10022,"4/19/2018",NA,"7","WT",4.018,0.028,11.6,0.0305836789954313,0.112353372434018,0.354770676347003,0.0398596819282832
"41",21,22,86,"JA042618D7KOS_4","22_86_JA042618D7KOS_4.fcs compensated","JA","4/26/2018","Spleen",8813,1,10027,"4/19/2018",NA,"7","KO",4.747,0.034,9.5,0.0336410333562586,0.0122011952191235,0.319589816884457,0.00389937774585119
"42",NA,9,88,"GM042718D4WTS","9_88_GM042718D4WTS.fcs compensated","GM","4/27/2018","Spleen",1307,0,2,"4/23/2018",NA,"4","WT",2.4,0.013,11.5,0.0201999677965972,0.0235177865612648,0.232299629660867,0.00546317310862514
"43",NA,10,90,"GM042718D4KOS","10_90_GM042718D4KOS.fcs compensated","GM","4/27/2018","Spleen",1307,0,1,"4/23/2018",NA,"4","KO",2.9,0.02,9.75,0.0336636143505246,0.0118611171015743,0.328220239917615,0.00389305870076964
"44",NA,23,92,"AD050318D9WTS_1","23_92_AD050318D9WTS_1.fcs compensated","AD","5/3/2018","Spleen",1293,1,10037,NA,NA,"9","WT",6.2,0.054,7.25,0.0243591456760428,0.112266355140187,0.176603806151311,0.0198266656204918
"45",NA,24,94,"AD050318D9KOS_2","24_94_AD050318D9KOS_2.fcs compensated","AD","5/3/2018","Spleen",1293,1,10039,NA,NA,"9","KO",7.7,0.063,9.15,0.0204903539318597,0.0143048265925697,0.187486738476516,0.00268196528231303
"46",NA,25,96,"AD050318D9WTS_3","25_96_AD050318D9WTS_3.fcs compensated","AD","5/3/2018","Spleen",1293,1,10036,NA,NA,"9","WT",5.7,0.054,9.15,0.0212633088899056,0.11541889483066,0.194559276342637,0.02245581665452
"47",NA,26,98,"AD050318D9KOS_4","26_98_AD050318D9KOS_4.fcs compensated","AD","5/3/2018","Spleen",1293,1,10040,NA,NA,"9","KO",8.4,0.065,10.2,0.0226800577281242,0.0140603985817337,0.231336588826867,0.00325268464544439
"48",NA,27,100,"AD051018D9WTS_T5","27_100_AD051018D9WTS_T5.fcs compensated","AD","5/10/2018","Spleen",1328,0,5,NA,NA,"9","WT",4.7,0.027,12.5,0.0177547591415357,0.136329209795506,0.221934489269197,0.0302561535484388
"49",NA,28,102,"AD051018D9KOS_T3","28_102_AD051018D9KOS_T3.fcs compensated","AD","5/10/2018","Spleen",1328,0,3,NA,NA,"9","KO",5.9,0.039,12.4,0.030578971710176,0.0162832773326441,0.379179249206183,0.00617428087360804
"50",NA,29,104,"AD051018D9WTS_T1","29_104_AD051018D9WTS_T1.fcs compensated","AD","5/10/2018","Spleen",1328,0,1,NA,NA,"9","WT",6.7,0.059,10.6,0.0294509032455956,0.0935737548653586,0.312179574403314,0.0292118149691877
"51",NA,30,106,"AD051018D9KOS_T4","30_106_AD051018D9KOS_T4.fcs compensated","AD","5/10/2018","Spleen",1328,0,4,NA,NA,"9","KO",6.6,0.048,13.55,0.0185207292323959,0.0198320111992534,0.250955881098965,0.00497695984447317
"52",NA,11,108,"AD052218D4WTS_T2","11_108_AD052218D4WTS_T2.fcs compensated","AD","5/22/2018","Spleen",1372,0,2,NA,NA,"4","WT",2.9,0.027,4.8,0.0170571122339611,0.0291352138789564,0.0818741387230133,0.00238542054285034
"53",NA,12,110,"AD052218D4KOS_T4","12_110_AD052218D4KOS_T4.fcs compensated","AD","5/22/2018","Spleen",1372,0,4,NA,NA,"4","KO",2.9,0.026,5.1,0.0166164604626143,0.00511189367261161,0.084743948359333,0.000433202053410199
"54",NA,13,112,"AD052218D4WTS_T3","13_112_AD052218D4WTS_T3.fcs compensated","AD","5/22/2018","Spleen",1372,0,3,NA,NA,"4","WT",2.9,0.027,5.45,0.0108684395075026,0.0178362573099415,0.059232995315889,0.00105649494569276
"55",NA,14,114,"AD052218D4KOS_T7","14_114_AD052218D4KOS_T7.fcs compensated","AD","5/22/2018","Spleen",1372,0,7,NA,NA,"4","KO",2.6,0.02,4.55,0.0189262846462711,0.00594784200091505,0.0861145951405337,0.000512196005868662
"56",NA,1,116,"KV053118D0WTS_T2","1_116_KV053118D0WTS_T2.fcs compensated","KV","5/31/2018","Spleen",NA,0,2,"5/31/2018",NA,"0","WT",1.314,0.003,1.325,0.0146447066813821,0.93,0.0194042363528313,0.0180459398081331
"57",NA,2,118,"KV053118D0KOS_T3","2_118_KV053118D0KOS_T3.fcs compensated","KV","5/31/2018","Spleen",NA,0,3,"5/31/2018",NA,"0","KO",1.412,0.001,0.465,0.0343974820143885,0.958762886597938,0.0159948291366907,0.0153352485537343
"58",NA,3,120,"KV053118D0WTS_T5","3_120_KV053118D0WTS_T5.fcs compensated","KV","5/31/2018","Spleen",NA,0,5,"5/31/2018",NA,"0","WT",1.277,0.002,0.95,0.0636339381003202,0.970684039087948,0.0604522411953042,0.0586800256553767
"59",NA,4,122,"KV053118D0KOS_T9","4_122_KV053118D0KOS_T9.fcs compensated","KV","5/31/2018","Spleen",NA,0,9,"5/31/2018",NA,"0","KO",1.141,0.002,2.09,0.0237910051699684,0.962962962962963,0.049723200805234,0.0478816007754105
"60",NA,5,124,"KV053118D0WTS_T6","5_124_KV053118D0WTS_T6.fcs compensated","KV","5/31/2018","Spleen",NA,0,6,"5/31/2018",NA,"0","WT",1.377,9e-04,0.665,0.0570856685348279,0.985210466439135,0.0379619695756605,0.0374005297525848
"61",NA,6,126,"KV053118D0KOS_T11","6_126_KV053118D0KOS_T11.fcs compensated","KV","5/31/2018","Spleen",NA,0,9,"5/31/2018",NA,"0","KO",1.292,9e-04,1.335,0.0428376001563416,0.976666666666667,0.057188196208716,0.055853804963846
"62",NA,7,128,"KV060818D0WTS_T2","7_128_KV060818D0WTS_T2.fcs compensated","KV","6/8/2018","Spleen",NA,0,2,"6/8/2018",NA,"0","WT",1.442,0.003,0.33,0.0195984703632887,0.78,0.00646749521988528,0.00504464627151052
"63",NA,8,130,"KV060818D0KOS_T6","8_130_KV060818D0KOS_T6.fcs compensated","KV","6/8/2018","Spleen",NA,0,6,"6/8/2018",NA,"0","KO",1.687,0.005,1.315,0.00557624261286797,0.441176470588235,0.00733275903592138,0.00323504075114178
